KO	Symbol	Name	Cycle	Function	Pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
38	K00584	mtrH	 tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	8	0	0	0	0	0	0	0	0	27	2.34	0	0	0	5	0	0	0	11	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	12	0	7	0	15.66	6	0	1.34	0.66	4	5.34	3.34	2.66	3.34	2.66	3.34	2	0	2	3.34	6	0	1.34	9.34	6	1.34	0	0	1.34	0	4.66	0	9	5.34	5.34	2.66	6	2	0.66	1.34	4.66	2.66	3.16
39	K00672	ftr	 formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	Carbon	Methanogenesis	Methanogenesis	193.99	197.82	169	109.99	50.83	86.84	164	119.5	111.99	133.33	169.33	130	206.66	101	146.99	85.32	94.66	114.67	120	101.17	50.67	108.99	115.5	66.66	214.66	180.84	208	114	158.01	180.65	173	137.33	107.01	63.35	86.67	121.33	146.32	107.5	100.17	215.01	225.42	162.33	244.16	135.67	219.68	221.34	223.32	224.68	221.69	211.5	292.83	158.11	170.35	131.82	175.34	149.83	209.43	225.77	182.63	210.36	196.85	271.81	220.27	59.87	110.44	97.93	198.57	174.05	91.22	119.21	253.49	213.82	172.47	140.62	161.02	182.58	150.1	185.81	119.68	237.08	184.89	210.47	113.19	234.37	203.54	148.18	192.68	217.37	139.89	211.77
40	K01179 	NA	endoglucanase [EC:3.2.1.4]	Carbon	Cellulose breakdown	Cellulose breakdown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	K01180	NA	endo-1,3(4)-beta-glucanase [EC:3.2.1.6]	Carbon	Cellulose breakdown	Cellulose breakdown	0	0	11.67	4	0	13.67	2	0	0	0.67	0	1	0	0	0	14.33	0	0	0	0	0	11	1.33	0	13	10	6.33	0	0	0	23	6.67	0	0	0	0	1.33	25.34	24.33	11	10.33	0	6.67	14	0	3.67	0	1	0	0	0	0.67	0.33	0	0	4.67	0	0	0	5	0	0	0	0	0.67	3.67	1.33	0	2.33	4.67	4	0	2.33	5.67	0	0	5.66	6	5.33	0	3	0.33	0	0	3.67	0	0	0	0	0
42	K01181	xynA	endo-1,4-beta-xylanase [EC:3.2.1.8]	Carbon	Xylan breakdown	Xylan breakdown	2589.34	2768.66	2729.5	2146.5	1694	2026	2500.5	2445	2361	1397	943.67	1389.32	1492.83	1203	1221.82	1705.33	1382.5	1191.83	2106.49	1966.5	2346	1352.99	2067.07	2104.01	1420.34	1946.33	1694.33	1985	1553.47	1167.83	1842	2086	1536.33	2184.5	1667	1756	1240.68	1220.17	1583.5	1240.19	1291.98	1155.83	1147.69	874.32	1254	804	808	1040.18	1123.77	1215.5	1285.12	700.22	839.53	770.57	2605.41	1878.48	2002.56	2020.45	2195.98	2617.07	2566.69	1738.18	2759.76	2045.45	1656.79	2354.82	2335.71	2269.01	2080.41	1814.47	2001.95	1896.37	2097.57	2397.31	2873.43	1940.75	1654.43	1302.26	2247.73	1969.14	2048.43	1338.88	1130.26	1331.3	1701.2	2025.32	1786.39	1487.84	1519.96	1652.34
43	K01183	NA	chitinase [EC:3.2.1.14]	Carbon	Chitin breakdown	Chitin breakdown	1266.33	1290.49	1429.68	1203	897.5	1055.17	1188.5	1104	1008	761.67	758.66	817.15	626.33	642.34	593.99	885.32	713	719.49	1087	972.5	1089	1018.32	1294.14	1403.02	954.85	977.5	720.17	1072.34	972.98	809.17	1064.5	997.67	530.66	856.5	893	903.66	1180.83	1222.85	1269.83	982.68	1243.34	989.15	873.67	1108.49	1002	753.67	909.32	890.83	929.12	1059.22	919.48	679.44	628.71	940.88	1693.07	1335.85	1350.43	1377.96	1548.39	1843.92	1504.69	1334.42	1418.81	1731.83	1504.24	1173.36	1122.31	1198.41	1178.34	1167.98	1168.24	1233.14	1517.73	1660.11	1685.09	1585.02	1341.26	1128.5	1471.32	1245.43	1529.22	1005.31	980.49	1063.36	1187.34	1056.63	1139.44	957.24	974	1063.64
44	K01195	uidA, GUSB	beta-glucuronidase [EC:3.2.1.31]	Carbon	Cellulose breakdown	Cellulose breakdown	505.34	560.66	372.5	370	310.5	257.5	533	302	495	546	438.17	502	521	459.5	593	465	635	540.5	427.34	365	417	557	664	334.84	491	427	519.5	478	413.5	516	499	473	435	474.5	458.5	472	475	609.5	515.5	535.84	885.5	727	510	744	772	617.01	588	570.99	592.75	648.67	566.83	623.07	571.83	659.08	1121.56	1370.52	936.59	1489.99	1366	1251.75	1182.21	1145.24	1259.99	573	579.75	758.66	621.17	512.75	619.59	679.66	592.6	604.83	1243.43	1413.84	1258.57	1081.17	1147.77	1167.84	1070.33	744.42	1025.91	588.02	677.23	565.34	666.01	583.83	764.76	696.06	702.34	614.5
45	K01198	xynB	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	Carbon	Xylan breakdown	Xylan breakdown	643.34	540.66	664.5	536.5	516.5	564.5	532	670	492	318	242.17	332.33	334.83	241	232.83	471.33	388	338.33	589.34	606.5	511	485.33	467	813.01	395.17	496	588	503	474.49	397.83	433	541	378	661.5	457	467	345.83	327.17	511	369.34	405.33	247.83	243.78	292.44	198	268	264.5	415	368.25	432.84	473.67	192.31	267.01	246.58	654.25	549.5	571.09	527.98	478.34	569.74	452.17	404.25	589.16	134.33	297.08	343.99	425.34	462.75	239.34	278.33	517.92	432.99	436.85	541.03	679.25	485.51	381.93	376.17	315.33	646.08	492.24	464.84	166.33	323.36	401.33	340.5	401.09	401.74	344.5	501.17
46	K01225	CBH1	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	Carbon	Cellulose breakdown	Cellulose breakdown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	K01499	mch	 methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	Carbon	Methanogenesis	Methanogenesis	193.99	197.82	169	101.99	50.83	86.84	164	119.5	111.99	133.33	159	130	179.66	101	140.99	78.32	94.66	109.67	120	94.17	50.67	81.66	89.5	66.66	211.33	171.17	183	114	142.01	180.65	173	137.33	107.01	63.35	86.67	121.33	146.32	107.5	100.17	215.01	220.42	162.33	244.16	131.67	219.68	221.34	216.99	212.68	221.69	204.5	283.5	144.11	158.02	127.82	165.34	149.83	204.1	216.77	182.63	209.69	196.85	265.81	211.27	59.87	106.77	94.26	175.57	172.05	91.22	113.54	243.16	208.15	168.14	140.62	158.35	179.91	150.1	185.81	119.68	233.75	184.89	207.47	113.19	229.37	200.54	148.18	189.68	210.37	135.89	202.94
48	K01601	rbcL, cbbL	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon	Autotrophic C fixation	Calvin Benson	522	433	472	264.5	269.5	289	325.5	378.5	234.5	422.5	394	484.5	358.17	351.17	383.5	360.5	431	300.5	329.5	424	421.5	447.5	592.5	620.5	345	525	492	459	315.5	452.5	516.5	384	375.5	415	242	273.5	286.5	389	319.5	193.5	257.5	304	192.5	279.5	443	360	462	335.4	328.1	383.6	388.76	308.53	289.83	330.3	626.02	693.66	706.68	817.6	945.45	725.19	798.34	1001.68	734.78	358.94	483.27	573	623.56	825.11	425.72	708.17	1027.04	887.02	714.31	524.79	739.29	829.77	771.33	779.83	452	1232.86	853.23	1030.39	380.68	848.56	733.04	396.69	606.6	765.44	614.55	910.83
49	K01602	rbcS, cbbS	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon	Autotrophic C fixation	Calvin Benson	259	220.5	257.5	76.5	98	82.5	75.5	127	103	136.5	124	147.5	194.17	112	168.5	116	134	143	147.5	124	119	167	358.5	158	236	266.5	251	199	194	155	314.5	178	131	105.5	120	86	142	182.5	180	113	188	181	126.5	141	329.5	229	278	145	142	161	171.75	80.5	92.5	105.5	203.5	155.33	181.11	153.5	201.28	187.5	169.67	231.28	135.11	97.94	133.06	130	128.39	81.11	109.72	151	119.67	130.72	227	183.06	286.83	219.89	232	153.94	221.5	185.72	155.06	139.72	149.78	74.56	181.11	184.5	122.33	179.11	195.72	186.5
50	K01895	ACSS1_2, acs	 acetyl-CoA synthetase [EC:6.2.1.1]	Carbon	Methanogenesis	Methanogenesis	13063.08	13545.48	13245.2	13939.16	13334.66	13491.01	14287.33	12852.5	14223.97	14002.83	13078.5	13485.98	13262.49	12764.67	13701.98	13099.62	13090.81	13924.51	12998.08	13133.36	12410.49	12064.16	13705.72	12407.07	12357.34	13174.83	11837	13586.34	13259.67	13487.64	13512.34	13428.5	12541.33	13833.03	13330.94	13210.82	13267.06	13496.18	13172.18	14066.85	13998.27	14199.81	15179.07	14558.64	15148.39	12555.52	13479.97	11997.67	12524.56	12695.08	12591.07	13354.5	12872.81	13633.64	15181.97	15843.22	14841.1	15950.85	15703.46	15639.7	15208.74	15285.96	15070.15	14066.58	13723.13	14226.02	14083.84	13783.55	14011.19	15035.6	14599.78	14620.32	15781.83	16482.5	15874.82	15638.82	15919.51	15237.46	14967.04	14827.75	14952.21	13944.34	13805.12	14179.33	13954.27	14031.54	14213.98	14273.23	14136.69	14475.58
51	K01964	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	K01965	PCCA, pccA	propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle	1268.67	1224.33	1228.17	995	909.5	958.5	917	1182	888.5	754	1182	1167.33	749.83	655	922.33	1116.83	1273	906.33	1158.5	1108	954	1324.5	1905.25	1506.34	1089.34	1392.83	1155.83	1225	1386.66	1259.33	1405	1206	1074.33	991	974	992.5	1217.5	1225.67	1092.5	834.34	1125.17	923.83	791	937.83	960	1498	1345.5	1369.83	1494.76	1584.33	1471.7	763.77	812.95	875.74	1644.6	1320.66	1477.87	1565.08	1512.79	1900.44	1571.51	1603.23	1498.27	1768.87	1346.68	1686.59	1550.22	1672.29	1461.06	1374.69	1581.09	1694.98	1634.72	1733.57	1688.28	1522.41	1589.02	1282.63	1463.08	1534.85	1512.8	1300.99	1073.68	1406.07	1440.13	1323.53	1479.24	1073.62	1119.8	1294.1
53	K01966	PCCB, pccB	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle	4704	4149.83	4116.68	3777.5	4143.83	3943.67	3676.83	4663.17	3501.66	3983.17	4747.5	4882.16	4168.66	4293	4651.5	4853.99	5685.33	4181.17	4202	4441.51	4393.33	4898.17	5483.66	5050.68	3973.34	5108.16	4730.66	4823.33	4922.66	4710.49	4990	4533.17	4755.33	4679.17	4987.84	4815.33	5125.83	5093.01	5325.16	4956.34	4972.84	4661.66	5297.94	5143.11	5202.5	4113.84	4141.33	4021.66	4269.76	4229.45	3972.46	4530.6	4563.44	4442.07	4884.25	4561.01	4461.2	5122.07	5112.29	5247.78	4599.18	4802.06	4634.1	3815.04	3858.51	4214.76	4464.21	4232.79	3953.39	4327.02	4433.27	4820.81	5178.5	5638.35	5257.95	4843.4	4917.68	4650.97	4612.49	4520.03	4441.13	4336.82	4052.51	4450.4	4659.22	4192.03	4754.2	4028.45	4006.89	4464.6
54	K02305	norC	nitric oxide reductase subunit C	Nitrogen	Denitrification	Denitrification	32	74	79	34	69	31	16	61	68	21	52	44	47	0	0	26	30	18	45	46	37	65	90	90.6	58	73	97	42	49	42	51	45	48	0	42	25	25	31	46.2	32	39.75	37	20	30.25	37	42	56	42.3	26	39.5	37	13	20	24	61	43.33	63.11	51	55.78	72	73.67	60.78	51.11	43.44	49.56	44	42.39	56.11	42.22	32	71.67	44.22	38	40.56	72.33	48.89	41	32.44	54	47.22	48.56	35.22	22.78	78.56	52.11	44	18.33	34.11	41.22	40
55	K02567	napA	nitrate reductase (cytochrome) [EC:1.9.6.1]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	32	55	77	51	99	31	16	61	48	21	47	44	41.5	2.5	0	46.33	30	22.5	45.17	34	37	82.83	109	111.5	95	78	108	46.17	101.5	36	118	49.4	48	5	50.5	44	25	40.5	69	104.5	110.5	62	20	63	37	42	58	36.84	26	33.5	53.83	16.5	24	48	41	32.16	42.22	23.5	32.56	42	36.54	36.56	37.22	44.88	57.45	44.17	43.28	36.22	43.87	33	52.67	44.27	19	33.22	46.66	32.11	27	18.38	41	8.69	38.79	28.27	23.96	36.12	42.22	44	19.66	30.22	48.44	30.5
56	K02568	napB	nitrate reductase (cytochrome), electron transfer subunit	Nitrogen	Denitrification	Dissimilatory nitrate reduction	32	55	77	51	99	31	16	61	48	21	47	44	39	2.5	0	46.33	30	22.5	45.17	34	37	82.83	109	111.5	95	78	108	46.17	101.5	36	118	49.4	48	5	50.5	44	25	40.5	69	104.5	110.5	62	20	57	37	42	58	36.84	26	33.5	53.83	16.5	22.5	41	41	32.16	42.22	23.5	32.56	42	36.54	36.56	37.22	44.88	51.45	43.17	43.28	36.22	43.87	33	52.67	44.27	19	31.22	46.66	32.11	27	18.38	41	8.69	38.79	28.27	23.96	35.12	42.22	44	19.66	30.22	48.44	30.5
57	K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	Nitrogen	N fixation	Nitrogen fixation	32	55	61	34	69	57	16	61	64	86	128	68	70.67	28.01	37	60	56.5	21	65	57	99	141	208.5	70	116.5	111	136.5	63	59	70	125	81	61	40	44	25	42	41	23	46	54	70	20	29	41	110	135	134.5	178.5	174	191.67	54.66	39	29	76.09	37.16	54.11	36.34	74.12	52.66	65.01	82.44	70.45	48.44	91.56	81	59.73	49.11	70.22	53.34	91.01	66.22	43.34	57.56	56.33	40.23	42.25	58.73	41	68.47	63.9	54.06	34.44	47.56	58.11	47.66	58.17	99.77	84.38	79.16
58	K02588	nifH	nitrogenase iron protein NifH	Nitrogen	N fixation	Nitrogen fixation	32	55	61	34	69	57	16	61	64	86	128	68	70.67	28.68	37	60	56.5	34.5	65	57	99	141	208.5	70	116.5	111	136.5	79	59	70	125	81	61	40	44	25	42	41	23	46	54	70	20	29	41	110	139	134.5	178.5	174	191.67	54.66	44.5	29	76.09	37.16	83.11	107.34	74.12	53.16	66.01	82.44	123.45	48.44	91.56	81	59.73	49.11	70.22	53.34	91.51	66.22	43.34	57.56	56.33	40.23	49.25	65.73	41	68.97	63.9	54.06	34.44	47.56	58.11	47.66	58.17	99.77	84.38	79.66
59	K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	Nitrogen	N fixation	Nitrogen fixation	32	55	61	34	69	57	16	61	56	86	128	68	70.67	28.01	37	60	56.5	21	65	57	99	141	208.5	70	116.5	111	136.5	63	59	70	125	81	61	40	44	25	42	41	23	46	54	70	20	29	41	110	135	134.5	178.5	174	191.67	54.66	39	29	76.09	37.16	54.11	36.34	72.12	52.66	78.01	82.44	80.45	48.44	91.56	81	59.73	49.11	70.22	60.34	91.01	66.22	49.34	57.56	56.33	40.23	42.25	58.73	41	85.47	74.9	66.06	38.44	47.56	58.11	47.66	58.17	99.77	84.38	89.66
60	K03381	catA	catechol 1,2-dioxygenase [EC:1.13.11.1]	Carbon	Lignin breakdown	Lignin breakdown	209.6	277.5	190.5	218.5	132	219.5	164.5	350	212	189	228.17	204.5	336.33	114	281	147.33	318	196.83	288.33	346	183	325	491.33	535.2	341.17	574.5	316.5	220	238.16	351.83	380.5	212.6	189	150.5	214	170	506.5	473.17	389.4	398.17	425.67	488.83	495	440	682	211	261	201.47	174.97	181.8	193.31	211.43	226.81	280.33	479.51	420.83	467.07	550.25	475.84	642.19	504.84	621.9	490.83	700.5	293.87	687.83	713.17	622.33	558	629.33	466.77	543.4	474.97	525.5	636.83	578.39	657.97	626.62	530.16	542.4	487	419.99	369.23	390	460.1	461.19	480.8	343.33	362.66	412.16
61	K03385	nrfA	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	19	13	23	36	30	70	31	35	33	156	202	88	53	81.5	72	86.33	65	27.5	67.17	49	137	124.83	182	47.5	79.5	81	68.5	75.17	53	96	125	107	54	85	76.5	37	72	60.5	40	85	109.83	89	76.67	54	46	131	159	179.34	305	252	265.33	103.5	47.5	48.5	116	36	71	49	74	57	58.2	39	77	28	100.33	62.17	86	77	76.43	68	96.83	108.83	55.33	42.1	44	76.33	64	137	17	79	91.67	59.33	19.4	82	55	0	70	109	106	100.5
62	K04480	mtaB	 methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	2.01	0.99	6	8.01	5.01	3.99	5.01	3.99	5.01	3	0	3	5.01	9	0	2.01	8.01	9	2.01	0	0	2.01	0	6.99	0	12	8.01	8.01	3.99	11	3	0.99	2.01	6.99	3.99	3.99
63	K04561	norB	nitric oxide reductase subunit B [EC:1.7.2.5]	Nitrogen	Denitrification	Denitrification	372.9	316	318.33	261.67	310	388.67	227.67	470.33	286.33	245	416	274.33	269	216.33	206.66	394.66	446.16	230.67	431.58	457	346.33	545.33	589	994.18	317.16	657.67	462.17	377.67	577.34	337	479.67	298.73	394.5	293.17	393.5	262	447.16	394.75	473.87	266.67	260.16	276.67	262	257.58	256.67	266.67	260.33	284.98	327.35	305.49	369.99	210.01	190.92	261.53	221.33	193.83	179.45	221.67	216.12	218	228	249.11	200.61	110.11	185.22	195.66	264.73	244.45	224.89	176.67	320.67	327.22	156.66	114.18	203.99	224.89	198.83	260.12	85.67	351.05	252.56	284.21	182.78	328.89	256.78	169	231.01	224.44	215.22	291.01
64	K08689	bphAa, bphA1, bphA	biphenyl 2,3-dioxygenase subunit alpha [EC:1.14.12.18]	Carbon	Lignin breakdown	Lignin breakdown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	K10535	hao	hydroxylamine dehydrogenase [EC:1.7.2.6]	Nitrogen	Nitrification	Hydroxylamine oxidation	11	13	26	0	0	0	0	36	0	24	0	0	0	33	23	26	0	35	0	0	0	0	33	0	0	0	0	75	40	0	64	26	0	60	35	0	42	52	52	0	0	64	0	0	68	52	51	0	6	4	10	1	0	5	19	0	3	0	0	0	0	0	0	0	5	6	0	0	0	30	0	0	12	15	13	14	9	4	0	0	0	16	11	0	5	7	0	20	11	14
66	K10944	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	Nitrogen	Nitrification	Ammonia oxidation	663	910	1176	1890	1821	1815	1685	924	1950	1504	800	1035	911	789	776	968	506	1114	1010	1422	850	279	248	346	554	579	251	1207	834	1191	711	981	620	1335	972	902	758	674	620	1005	401	925	942	1138	1156	817	764	479	627	602	821	1010	647	989	362	443	421	88	98	99	209	257	214	104	276	277	288	191	629	1055	705	501	199	108	262	350	427	300	325	253	219	424	430	266	407	744	227	629	750	469
67	K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B	Nitrogen	Nitrification	Ammonia oxidation	663	910	1176	1890	1821	1815	1685	924	1950	1504	800	1035	911	789	776	968	506	1114	1010	1422	850	279	248	346	554	579	251	1207	834	1191	711	981	620	1335	972	902	758	674	620	1005	401	925	942	1138	1156	817	764	479	627	602	821	1010	647	989	362	443	421	88	98	99	209	257	214	104	276	277	288	191	629	1055	705	501	199	108	262	350	427	300	325	253	219	424	430	266	407	744	227	629	750	469
68	K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C	Nitrogen	Nitrification	Ammonia oxidation	1337	1833	2378	3780	3642	3630	3370	1884	3900	3056	1600	2070	1807	1644	1598	1988	1012	2298	2020	2844	1700	558	562	692	1108	1158	489	2564	1748	2382	1550	2014	1240	2790	2014	1804	1600	1452	1344	2010	802	1978	1884	2276	2448	1738	1630	958	1266	1212	1657	2020	1294	1988	758	886	845	176	196	198	418	528	428	208	562	566	576	376	1258	2153	1410	1002	420	242	550	728	872	608	650	506	438	880	882	532	824	1502	447.5	1282	1519	966
69	K11260	fwdG	 4Fe-4S ferredoxin	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.66	0	0	1.34	0.66	4	5.34	3.34	2.66	3.34	2.66	3.34	2	0	2	3.34	6	0	1.34	5.34	6	1.34	0	0	1.34	0	4.66	0	8.5	5.34	5.34	2.66	6	2	0.66	1.34	4.66	2.66	3.16
70	K11261	fwdE, fmdE	 formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis	94	85	59	66	128	22	26	17	99	219	196	210	245	184.01	229	188	248.5	120	102	27	175	223	197	88	287	118	252	145	82	215	76	104	175	79	147	46	90	117	71	181	145	181	86	105	214	526	400	544.5	464.5	507.5	398.5	259.32	221.5	184	141.43	143.32	159	73.18	92.18	69.32	140.68	127.32	164.68	204	292	334	342.18	248	380	379.68	283.18	299	109.68	102	78	143.68	151.25	186.57	110	178.25	115.68	309.18	442.32	352	370	475.32	447.68	195.32	253.32	258.82
71	K11263	bccA, pccA	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle	2748.4	3111.67	2312.34	2659	1843.67	2138.16	2512	1954.33	2450.33	2820.16	2629	2964.83	2629.16	2512	3569.83	2511.99	2860.33	3324.49	2094.82	1834.17	1845.83	2138.34	4271.33	1808.34	2328.01	2772.83	1753.33	2743	2436.66	2572.82	3484.67	2853.4	2321.66	2608.17	2712.34	2682.17	2997.33	3031.5	2505.17	2737.5	3758.18	3079.49	2914.5	2930.83	3571.34	1966.67	2578.67	1616.31	2233.1	2175.83	2145.52	2766.85	2407.38	2822.98	5890.05	5973	5323.07	6425.3	5982.02	6602.24	5863.36	5888.4	5613.15	5000.83	4422.57	5107.49	5473.66	5098.23	4710.33	5175.14	4741.43	5120	6560.93	7089.25	6834.26	6289.87	5992.59	6364.32	6015.16	5665.11	5817.42	4943.51	5270.84	5302.01	5505.03	5035.5	5779.73	5230.25	4847.5	5547.35
72	K14028	mdh1, mxaF	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	Carbon	Methane oxidation	Aerobic methane oxidation	97	60	61	34	42	31	58	73	48	21	62	65	47	0	0	26	46	18	64	43	37	87	90	56	76	73	114	63	65	36	51	45	34	0	23	21	37	31	23	59	62	49	20	29	37	64	58	41	36	48	59.86	24.43	41.43	23	49.85	33	49.17	39.43	39	58.86	37	48.37	42	43.6	60.71	63.6	82	45.6	52	69.2	81	48.6	32.14	38.43	47.86	35.51	44.43	7.86	41	34.54	49	55.6	44.57	48	71.43	77.86	65.5	50.6	37	46.6
73	K14029	mdh2, mxaI	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	Carbon	Methane oxidation	Aerobic methane oxidation	65	5	0	0	0	0	42	12	0	0	15	21	15	0	0	0	16	0	19	9	0	22	0	0	18	0	30	21	16	0	0	0	0	0	0	0	12	0	0	27	25	12	0	0	0	22	5	8	14	17	28.86	12.43	21.43	1	8.85	7	14.17	19.43	10	19.86	13	17.37	12	1.6	16.71	23.6	47	21.6	11	38.2	38	20.6	15.14	10.43	1.86	10.51	17.43	7.86	0	34.54	26	39.6	22.57	31	33.43	33.86	48.5	27.6	4	27.6
74	K14080	mtaA	 [methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246?2.1.1.377]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	2.01	0.99	6	8.01	5.01	3.99	5.01	3.99	5.01	3	0	3	5.01	9	0	2.01	8.01	9	2.01	0	0	2.01	0	6.99	0	12	8.01	8.01	3.99	9	3	0.99	2.01	6.99	3.99	3.99
75	K14081	mtaC	 methanol corrinoid protein	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	2.01	0.99	6	8.01	5.01	3.99	5.01	3.99	5.01	3	0	3	5.01	9	0	2.01	8.01	9	2.01	0	0	2.01	0	6.99	0	12	8.01	8.01	3.99	9	3	0.99	2.01	6.99	3.99	3.99
76	K14082	mtbA	 [methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
